open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724198400000,2571.51,2584.47,2571.08,2575.47,51656.025,1724201999999,133178112.3,80961,30135.975,77693684.47,0
1724202000000,2575.46,2584.32,2554.33,2583.61,90147.798,1724205599999,231521874.5,122740,39473.816,101446910.8,0
1724205600000,2583.61,2596.93,2581.53,2589.32,51160.371,1724209199999,132481265.7,85584,25300.746,65522993.74,0
1724209200000,2589.32,2593.25,2585.24,2590.09,26898.942,1724212799999,69639023.88,50603,14334.192,37114381.8,0
1724212800000,2590.09,2593.13,2587.05,2591.07,20489.631,1724216399999,53073092.87,40767,10119.377,26212973.4,0
1724216400000,2591.07,2595,2589.44,2591.59,22479.681,1724219999999,58273747.44,43754,11055.869,28660837.15,0
1724220000000,2591.59,2604.56,2591.1,2599.05,57454.907,1724223599999,149325974.6,83676,29601.924,76940998.18,0
1724223600000,2599.06,2605.59,2593.01,2599.22,55060.961,1724227199999,143113082.5,76698,22768.217,59193348.39,0
1724227200000,2599.22,2606.65,2576.41,2583.54,99548.765,1724230799999,257740328.5,139191,45282.473,117265962.2,0
1724230800000,2583.55,2585.77,2566.03,2579.8,89950.771,1724234399999,231615654,122690,42751.303,110087597.5,0
1724234400000,2579.8,2588.42,2577.09,2587.47,41992.25,1724237999999,108466361.5,61535,23221.119,59987232.09,0
1724238000000,2587.48,2591.02,2575.13,2576.4,39530.285,1724241599999,102095858,64582,19778.039,51080717.94,0
1724241600000,2576.4,2582.3,2569.56,2577,50555.32,1724245199999,130267023.4,85693,26814.744,69109331.24,0
1724245200000,2577.01,2599.98,2533.51,2592.81,335443.073,1724248799999,859056683.1,352809,154170.636,395021466.4,0
1724248800000,2592.8,2616.88,2575.79,2588.91,435869.313,1724252399999,1132651383,500957,207218.004,538575923,0
1724252400000,2588.91,2609.68,2584.2,2600.44,115447.752,1724255999999,300161485.2,166882,61771.33,160609777.2,0
1724256000000,2600.45,2614.14,2591.01,2606.99,93294.802,1724259599999,242697913.6,132107,46200.879,120201550.8,0
1724259600000,2607,2629.16,2599.08,2624.61,115398.497,1724263199999,302244380,149301,60507.866,158497949.4,0
1724263200000,2624.62,2643.8,2620.71,2637.45,141915.462,1724266799999,373709575.1,193572,72605.317,191212946.3,0
1724266800000,2637.57,2649.33,2625.61,2645.01,167673.194,1724270399999,442477318.2,206079,81049.007,213897879.6,0
1724270400000,2645.01,2663.55,2624.25,2629.01,150066.33,1724273999999,396775329.1,185109,71598.087,189376673.3,0
1724274000000,2629.01,2646.62,2622.02,2635.92,62548.152,1724277599999,164817656.2,91332,33709.651,88829523.22,0
1724277600000,2635.93,2640.47,2628.13,2629.57,48426.274,1724281199999,127550985.3,69392,22223.833,58541468.78,0
1724281200000,2629.57,2632.73,2618,2629.38,51383.019,1724284799999,134944417.6,70011,26930.67,70737956.72,0
1724284800000,2629.37,2639.28,2625.41,2627.52,56550.088,1724288399999,148825506.5,81208,24976.277,65738435.71,0
1724288400000,2627.52,2630.32,2620.82,2626.91,42719.453,1724291999999,112180676.7,65250,21803.351,57259391.84,0
1724292000000,2626.9,2627.21,2582.27,2601.99,162946.312,1724295599999,424089447.3,186012,81268.493,211497082.9,0
1724295600000,2602,2617.6,2596.84,2615.18,72508.735,1724299199999,189063225,99575,38435.344,100224367.2,0
1724299200000,2615.18,2626,2612.32,2625.14,49723.711,1724302799999,130170745.6,77409,27134.565,71055512.59,0
1724302800000,2625.14,2625.14,2614.46,2618.44,32797.282,1724306399999,85920731.53,53301,14600.908,38251311.31,0
1724306400000,2618.43,2628.85,2616.5,2626.1,40781.883,1724309999999,107013979.8,61857,19944.57,52340237.79,0
1724310000000,2626.09,2641.95,2624.48,2635,55806.534,1724313599999,146868634.5,80753,31204.621,82137859.83,0
1724313600000,2634.99,2639.99,2627.4,2632.68,51012.983,1724317199999,134346056.4,78661,24208.573,63767856.1,0
1724317200000,2632.67,2635.38,2622.15,2622.82,45009.161,1724320799999,118266018.9,71085,17867.925,46954587.05,0
1724320800000,2622.81,2644,2618.36,2639.67,77842.844,1724324399999,204954286.6,102935,46297.234,121937907.8,0
1724324400000,2639.67,2642.66,2630.6,2640.42,53600.268,1724327999999,141345784.8,86634,24748.845,65268019.99,0
1724328000000,2640.42,2643.87,2620.63,2624.22,97096.812,1724331599999,255445507.7,129548,41454.683,109061231.9,0
1724331600000,2624.21,2628.88,2608.51,2619.23,122553.399,1724335199999,321024971.5,172545,58424.459,153047730.8,0
1724335200000,2619.24,2620,2598,2600.46,154750.282,1724338799999,403505089,189309,74807.666,195088296.5,0
1724338800000,2600.46,2611.84,2588.39,2598.3,108612.765,1724342399999,282231119.9,159505,54200.756,140871708,0
1724342400000,2598.29,2615.67,2596.06,2604.7,102703.757,1724345999999,267691495.9,129080,52626.037,137165779.9,0
1724346000000,2604.7,2613.49,2600,2602.73,50806.463,1724349599999,132452459.1,83999,25097.865,65438687.71,0
1724349600000,2602.74,2618.86,2600.1,2605.13,61289.722,1724353199999,160057025.7,88237,26741.018,69841188.67,0
1724353200000,2605.07,2609.82,2597.1,2605.44,37610.108,1724356799999,97946172.98,70211,18507.367,48205424.72,0
1724356800000,2605.45,2631.27,2605.18,2623.68,69472.465,1724360399999,181753452.4,86759,42074.593,110109453.5,0
1724360400000,2623.66,2625.89,2614.72,2622.32,43197.883,1724363999999,113233383.5,54583,22982.238,60244044.69,0
1724364000000,2622.33,2625,2618.33,2623.21,21569.553,1724367599999,56556381.35,41812,10404.037,27281834.65,0
1724367600000,2623.2,2624,2616.57,2622,20673.176,1724371199999,54190656.1,32519,8741.592,22914008.78,0
1724371200000,2622,2652.82,2619.86,2637.42,119483.263,1724374799999,315219184.5,137414,64341.696,169778525.1,0
1724374800000,2637.42,2642,2630.59,2637.01,48114.038,1724378399999,126902955.8,75040,18510.309,48827165.56,0
1724378400000,2637.01,2641.38,2630.54,2633.24,31929.814,1724381999999,84178174.57,50758,12808.402,33773145.01,0
1724382000000,2633.24,2638.19,2631.94,2634.64,28014.263,1724385599999,73813469.6,44231,13937.507,36724909.6,0
1724385600000,2634.65,2638.99,2632.8,2637.39,25388.329,1724389199999,66930873.58,41677,12556.907,33107298.53,0
1724389200000,2637.39,2676.78,2637.38,2673.76,204934.786,1724392799999,545733316.1,209545,113584.076,302346851.9,0
1724392800000,2673.76,2688.86,2669.19,2680.83,143730.845,1724396399999,385041763.6,169421,78843.652,211241371.2,0
1724396400000,2680.84,2683.58,2665.55,2668.07,62980.141,1724399999999,168339718.7,86107,29687.507,79342112.49,0
1724400000000,2668.07,2675.5,2665.51,2673.54,47379.728,1724403599999,126540433.1,68746,26630.691,71128500.28,0
1724403600000,2673.54,2679.97,2661.13,2665.47,82343.687,1724407199999,219882470.5,104035,40759.067,108852790.9,0
1724407200000,2665.48,2671.17,2663.12,2664.42,33975.885,1724410799999,90624410.55,57414,16394.081,43736953.74,0
1724410800000,2664.42,2666.36,2650,2651.94,108961.715,1724414399999,289421473,119640,48396.81,128543718,0
1724414400000,2651.95,2668.28,2651.46,2667.67,73130.011,1724417999999,194596845.8,92196,38072.897,101299800.9,0
1724418000000,2667.66,2667.67,2646,2658.9,103301.29,1724421599999,274219395.9,127207,55241.488,146634413.1,0
1724421600000,2658.9,2698.69,2631.01,2648.58,607697.04,1724425199999,1620802012,578911,302862.444,807879669.3,0
1724425200000,2648.58,2678.71,2645.56,2669.45,208781.703,1724428799999,556159082.4,228267,96842.202,257954468.7,0
1724428800000,2669.46,2679.33,2661.62,2677.61,88552.232,1724432399999,236481082.2,131008,45772.802,122258075.7,0
1724432400000,2677.61,2730.8,2668.11,2725.99,355582.417,1724435999999,960671478.5,328214,198324.105,536018999,0
1724436000000,2725.99,2739.92,2711.06,2724.29,237597.344,1724439599999,647594076.3,267587,114767.086,312857446.3,0
1724439600000,2724.29,2749.22,2718.42,2744.58,178856.818,1724443199999,489902538.1,188522,98160.745,268911444,0
1724443200000,2744.58,2761.76,2743.8,2751.32,92750.699,1724446799999,255204847.5,127939,50255.304,138290956.8,0
1724446800000,2751.33,2781.12,2751.07,2771.08,126804.169,1724450399999,350940543.9,163190,67625.184,187183614.8,0
1724450400000,2771.08,2798.88,2743,2758.46,201044.753,1724453999999,558295367.1,229025,97195.264,270134742.6,0
1724454000000,2758.47,2768.44,2755.26,2761.58,77538.633,1724457599999,214253274.4,100208,40103.196,110818086.8,0
1724457600000,2761.58,2768.44,2751,2756.99,70981.864,1724461199999,195870588.7,97552,32826.308,90584234.81,0
1724461200000,2757,2757.13,2741.12,2751.97,70329.425,1724464799999,193280799.4,93176,34588.486,95053397.6,0
1724464800000,2751.97,2760.18,2749.44,2752.57,39682.119,1724468399999,109267285.4,60980,21140.354,58218922.6,0
1724468400000,2752.57,2753.66,2742.11,2745.58,33779.974,1724471999999,92853532.77,55868,16337.395,44912836.01,0
1724472000000,2745.57,2749.64,2742.2,2745,28428.66,1724475599999,78069564.76,46198,16085.318,44177612.94,0
1724475600000,2745,2754.6,2736.92,2754.57,53352.506,1724479199999,146552574.8,69923,26301.121,72268835.02,0
1724479200000,2754.57,2764.2,2751.77,2754.03,53891.095,1724482799999,148590340.4,84484,28732.357,79227100.68,0
1724482800000,2754.02,2761.27,2753.61,2757.23,36524.35,1724486399999,100720188.9,59152,19890.108,54849613.83,0
1724486400000,2757.23,2779.7,2753.66,2774.98,93467.883,1724489999999,258638235.5,98320,55332.192,153142087.4,0
1724490000000,2774.98,2785.78,2765.86,2773.49,78432.737,1724493599999,217552983.2,94997,41221.528,114367119.3,0
1724493600000,2773.49,2777.18,2763.15,2767.19,64151.87,1724497199999,177764790.4,82328,30416.936,84295817.35,0
1724497200000,2767.18,2770.35,2754.56,2755.35,78591.5,1724500799999,217110994.6,80860,34371.365,94940519.41,0
1724500800000,2755.36,2763.07,2750,2755.26,98946.773,1724504399999,272792160.4,101249,43576.667,120144860.5,0
1724504400000,2755.27,2762.76,2750.79,2757.64,48842.124,1724507999999,134620195.6,67374,22091.24,60894258.33,0
1724508000000,2757.63,2762.58,2750.01,2758.21,55952.245,1724511599999,154206755.6,69365,25349.347,69868570.94,0
1724511600000,2758.22,2762.63,2752.51,2759.79,43337.542,1724515199999,119527277.2,66512,18598.856,51303717.36,0
1724515200000,2759.79,2819.35,2758.64,2812.71,355924.575,1724518799999,996003561.1,318990,195732.263,547524640.2,0
1724518800000,2812.7,2812.92,2775,2781.79,202416.365,1724522399999,566078338,178081,80100.6,223997017.2,0
1724522400000,2781.79,2800.56,2769.2,2781.73,144440.796,1724525999999,402371774.9,155255,79145.364,220571571.3,0
1724526000000,2781.73,2799.23,2780.84,2791.25,44764.006,1724529599999,125000505.4,61246,20462.825,57137223.78,0
1724529600000,2791.25,2806.62,2787.82,2789.81,72726.57,1724533199999,203479507,76220,42617.28,119229655.9,0
1724533200000,2789.81,2790.72,2729.15,2737.65,195794.183,1724536799999,540197980.2,216674,72567.79,200371969.6,0
1724536800000,2737.63,2757.6,2735.19,2750.35,101671.758,1724540399999,279560126.9,134466,50889.438,139953488.3,0
1724540400000,2750.35,2769.94,2750.12,2766.4,57918.397,1724543999999,159876211.5,73110,34847.552,96219904.76,0